date,state,data_type,population,elderly_population_percent,working_age_population_percent,under_30_population_percent,outdoor_worker_fraction,urban_population_percent,maximum_temperature_c,minimum_temperature_c,mean_temperature_c,relative_humidity_percent,wind_speed_mps,dew_point_c,heat_index_c,heat_index_f,wbgt_c,wbgt_category,hours_above_heat_threshold,nighttime_min_temperature_c,heatwave_day,consecutive_hot_days,temperature_anomaly_c,humidity_anomaly_percent,heat_duration_hours,consecutive_heat_days,nighttime_heat_stress,humidity_burden,outdoor_exposure_index,urban_heat_index,population_exposure_index,vulnerability_index,public_health_response_index,healthcare_access_index,heat_action_plan_index,cooling_access_index,heat_exposure_index,heat_exposure_lag_1,heat_exposure_lag_2,heat_exposure_lag_3,heat_exposure_lag_7,cumulative_heat_load_3day,cumulative_heat_load_7day,expected_heatstroke_deaths,expected_other_heat_related_deaths,expected_heat_related_deaths,heatstroke_deaths,other_heat_related_deaths,heat_related_deaths_total,heat_related_deaths_male,heat_related_deaths_female,heatstroke_deaths_male,heatstroke_deaths_female,heat_related_deaths_under_30,heat_related_deaths_30_59,heat_related_deaths_60_plus,mortality_anomaly,heat_related_mortality_rate_per_100000,heatstroke_mortality_rate_per_100000,thermal_signature
2025-09-24,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,29.44,23.22,26.33,84.1,1.61,23.43,33.74,92.74,27.1,LOW,0,23.9,False,0,-1.72,7.4,0,0,0.0,0.679,0.622,0.455,0.789,0.52,0.54,0.789,0.6,0.558,0.0275,0.0305,0.0382,0.0469,0.1493,0.0962,0.3528,0.015,0.0412,0.0562,0,0,0,0,0,0,0,0,0,0,-0.0562,0.0,0.0,"{""max_temperature_c"": 29.44, ""mean_temperature_c"": 26.33, ""humidity_percent"": 84.1, ""wbgt_c"": 27.1, ""heat_index_c"": 33.74, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-24,Kerala,SYNTHETIC,35800000,17.0,45.0,38.0,0.28,50.0,30.19,24.7,27.45,89.0,1.94,25.47,37.08,98.74,28.44,CAUTION,0,25.34,False,0,-0.1,6.4,0,0,0.223,0.933,0.417,0.427,0.466,0.498,0.595,0.85,0.65,0.576,0.0827,0.0478,0.0633,0.0327,0.0,0.1938,0.2812,0.00382,0.01125,0.01507,0,0,0,0,0,0,0,0,0,0,-0.01507,0.0,0.0,"{""max_temperature_c"": 30.19, ""mean_temperature_c"": 27.45, ""humidity_percent"": 89.0, ""wbgt_c"": 28.44, ""heat_index_c"": 37.08, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-24,Karnataka,SYNTHETIC,68000000,11.5,38.5,50.0,0.45,42.0,28.3,20.92,24.61,76.1,5.69,20.12,30.06,86.1,24.81,LOW,0,21.45,False,0,-0.26,0.1,0,0,0.0,0.265,0.746,0.351,0.717,0.555,0.503,0.678,0.55,0.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01191,0.0352,0.04711,0,0,0,0,0,0,0,0,0,0,-0.04711,0.0,0.0,"{""max_temperature_c"": 28.3, ""mean_temperature_c"": 24.61, ""humidity_percent"": 76.1, ""wbgt_c"": 24.81, ""heat_index_c"": 30.06, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-25,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,28.99,22.34,25.66,82.4,2.8,22.43,32.3,90.13,26.33,LOW,0,22.94,False,0,-2.1,5.5,0,0,0.0,0.554,0.592,0.401,0.783,0.523,0.537,0.789,0.6,0.562,0.0082,0.0275,0.0305,0.0382,0.0185,0.0662,0.3426,0.0143,0.03994,0.05424,0,0,0,0,0,0,0,0,0,0,-0.05424,0.0,0.0,"{""max_temperature_c"": 28.99, ""mean_temperature_c"": 25.66, ""humidity_percent"": 82.4, ""wbgt_c"": 26.33, ""heat_index_c"": 32.3, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-25,Kerala,SYNTHETIC,35800000,17.0,45.0,38.0,0.28,50.0,29.03,24.96,27.0,97.0,3.18,26.48,36.27,97.29,28.14,CAUTION,0,25.51,False,0,-1.26,14.4,0,0,0.252,1.0,0.43,0.367,0.469,0.495,0.6,0.847,0.65,0.574,0.0603,0.0827,0.0478,0.0633,0.0318,0.1909,0.3097,0.00381,0.01116,0.01497,0,0,0,0,0,0,0,0,0,0,-0.01497,0.0,0.0,"{""max_temperature_c"": 29.03, ""mean_temperature_c"": 27.0, ""humidity_percent"": 97.0, ""wbgt_c"": 28.14, ""heat_index_c"": 36.27, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-25,Karnataka,SYNTHETIC,68000000,11.5,38.5,50.0,0.45,42.0,28.46,19.56,24.01,78.1,1.59,19.96,30.16,86.29,25.19,LOW,0,20.02,False,0,-0.09,2.1,0,0,0.0,0.245,0.709,0.302,0.709,0.555,0.519,0.679,0.55,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01144,0.03447,0.04591,1,0,1,1,0,1,0,0,1,0,0.95409,0.001471,0.001471,"{""max_temperature_c"": 28.46, ""mean_temperature_c"": 24.01, ""humidity_percent"": 78.1, ""wbgt_c"": 25.19, ""heat_index_c"": 30.16, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-26,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,28.95,22.86,25.9,85.8,0.98,23.35,32.95,91.31,26.69,LOW,0,23.57,False,0,-2.07,8.8,0,0,0.0,0.668,0.579,0.472,0.781,0.514,0.538,0.79,0.6,0.564,0.0173,0.0082,0.0275,0.0305,0.0393,0.053,0.3206,0.01386,0.03889,0.05275,0,0,0,0,0,0,0,0,0,0,-0.05275,0.0,0.0,"{""max_temperature_c"": 28.95, ""mean_temperature_c"": 25.9, ""humidity_percent"": 85.8, ""wbgt_c"": 26.69, ""heat_index_c"": 32.95, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-26,Kerala,SYNTHETIC,35800000,17.0,45.0,38.0,0.28,50.0,30.02,25.38,27.7,96.7,1.68,27.13,39.08,102.34,28.88,CAUTION,0,25.96,False,0,-0.28,14.1,0,0,0.327,1.0,0.442,0.391,0.471,0.506,0.616,0.846,0.65,0.575,0.116,0.0603,0.0827,0.0478,0.0228,0.259,0.4028,0.00404,0.01184,0.01588,0,0,0,0,0,0,0,0,0,0,-0.01588,0.0,0.0,"{""max_temperature_c"": 30.02, ""mean_temperature_c"": 27.7, ""humidity_percent"": 96.7, ""wbgt_c"": 28.88, ""heat_index_c"": 39.08, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-26,Karnataka,SYNTHETIC,68000000,11.5,38.5,50.0,0.45,42.0,28.87,21.0,24.94,77.9,7.38,20.81,31.09,87.96,25.28,LOW,0,21.48,False,0,0.32,1.9,0,0,0.0,0.352,0.721,0.315,0.712,0.559,0.515,0.68,0.55,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01153,0.03458,0.04611,0,0,0,0,0,0,0,0,0,0,-0.04611,0.0,0.0,"{""max_temperature_c"": 28.87, ""mean_temperature_c"": 24.94, ""humidity_percent"": 77.9, ""wbgt_c"": 25.28, ""heat_index_c"": 31.09, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-27,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,29.66,22.94,26.3,83.9,2.8,23.37,34.01,93.21,27.01,LOW,0,23.61,False,0,-1.29,6.7,0,0,0.0,0.671,0.491,0.446,0.763,0.512,0.54,0.791,0.6,0.557,0.0251,0.0173,0.0082,0.0275,0.152,0.0506,0.1937,0.01285,0.03769,0.05054,0,0,0,0,0,0,0,0,0,0,-0.05054,0.0,0.0,"{""max_temperature_c"": 29.66, ""mean_temperature_c"": 26.3, ""humidity_percent"": 83.9, ""wbgt_c"": 27.01, ""heat_index_c"": 34.01, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
