date,state,population,max_temperature_c,mean_temperature_c,min_temperature_c,relative_humidity_percent,wind_speed_mps,heat_index_c,wbgt_c,heatwave_day,consecutive_heat_days,cumulative_heat_load_7day,expected_heat_related_deaths,heat_related_deaths_total,heat_related_deaths_male,heat_related_deaths_female,deaths_under_30,deaths_30_59,deaths_60_plus,heat_related_mortality_rate_per_100000,thermal_signature,data_type
2025-01-01,Tamil Nadu,72147030,31.2,26.1,20.9,74.8,3.4,40.9,25.2,False,0,25.23,1.2,0,0,0,0,0,0,0.0,0.349_0.0_0.748,SYNTHETIC
2025-01-02,Tamil Nadu,72147030,32.9,29.9,26.8,79.1,4.9,44.1,28.3,False,0,26.76,1.24,1,1,0,0,1,0,0.0014,0.553_0.0_0.791,SYNTHETIC
2025-01-03,Tamil Nadu,72147030,28.0,23.2,18.4,72.3,1.6,36.9,22.6,False,0,25.37,1.18,0,0,0,0,0,0,0.0,0.172_0.0_0.723,SYNTHETIC
2025-01-04,Tamil Nadu,72147030,30.8,26.0,21.2,67.8,1.2,38.2,25.0,False,0,25.29,1.19,0,0,0,0,0,0,0.0,0.337_0.0_0.678,SYNTHETIC
2025-01-05,Tamil Nadu,72147030,29.9,24.8,19.8,73.3,2.8,39.0,24.1,False,0,25.04,1.18,0,0,0,0,0,0,0.0,0.271_0.0_0.733,SYNTHETIC
2025-01-06,Tamil Nadu,72147030,32.1,28.1,24.2,68.4,3.1,39.6,26.8,False,0,25.33,1.22,2,1,1,0,1,1,0.0028,0.452_0.0_0.684,SYNTHETIC
2025-01-07,Tamil Nadu,72147030,30.7,26.6,22.4,72.8,2.1,39.7,25.5,False,0,25.35,1.19,2,1,1,1,0,1,0.0028,0.364_0.0_0.728,SYNTHETIC
2025-01-08,Tamil Nadu,72147030,29.9,26.9,23.9,77.2,4.3,40.4,25.6,False,0,25.4,1.18,1,1,0,1,0,0,0.0014,0.374_0.0_0.772,SYNTHETIC
2025-01-09,Tamil Nadu,72147030,31.5,27.5,23.5,78.8,1.3,42.5,26.4,False,0,25.13,1.21,0,0,0,0,0,0,0.0,0.424_0.0_0.788,SYNTHETIC
2025-01-10,Tamil Nadu,72147030,31.0,27.6,24.3,78.7,3.9,42.0,26.3,False,0,25.66,1.2,2,2,0,2,0,0,0.0028,0.422_0.0_0.787,SYNTHETIC
2025-01-11,Tamil Nadu,72147030,31.3,27.4,23.4,72.0,3.0,40.1,26.1,False,0,25.82,1.21,3,3,0,0,1,2,0.0042,0.408_0.0_0.72,SYNTHETIC
2025-01-12,Tamil Nadu,72147030,32.6,27.2,21.8,74.9,1.7,42.3,26.3,False,0,26.14,1.24,4,3,1,1,1,2,0.0055,0.421_0.0_0.749,SYNTHETIC
2025-01-13,Tamil Nadu,72147030,29.2,25.8,22.5,71.0,2.4,37.6,24.6,False,0,25.83,1.18,9,7,2,2,5,2,0.0125,0.308_0.0_0.71,SYNTHETIC
2025-01-14,Tamil Nadu,72147030,33.1,29.4,25.7,76.6,3.9,43.4,28.0,False,0,26.19,1.27,0,0,0,0,0,0,0.0,0.53_0.0_0.766,SYNTHETIC
2025-01-15,Tamil Nadu,72147030,30.0,26.8,23.7,69.8,3.4,38.0,25.5,False,0,26.17,1.18,0,0,0,0,0,0,0.0,0.366_0.0_0.698,SYNTHETIC
2025-01-16,Tamil Nadu,72147030,30.2,24.3,18.5,80.2,1.6,41.6,23.9,False,0,25.81,1.18,0,0,0,0,0,0,0.0,0.258_0.0_0.802,SYNTHETIC
2025-01-17,Tamil Nadu,72147030,32.8,27.4,21.9,66.0,3.2,39.6,26.4,False,0,25.82,1.24,0,0,0,0,0,0,0.0,0.426_0.0_0.66,SYNTHETIC
2025-01-18,Tamil Nadu,72147030,32.1,28.1,24.0,75.9,2.4,42.1,26.8,False,0,25.92,1.22,3,3,0,1,1,1,0.0042,0.454_0.0_0.759,SYNTHETIC
2025-01-19,Tamil Nadu,72147030,32.2,29.2,26.2,68.2,1.6,39.7,27.5,False,0,26.1,1.23,0,0,0,0,0,0,0.0,0.503_0.0_0.682,SYNTHETIC
2025-01-20,Tamil Nadu,72147030,30.4,26.4,22.4,75.4,4.0,40.3,25.3,False,0,26.2,1.18,1,1,0,0,1,0,0.0014,0.354_0.0_0.754,SYNTHETIC
2025-01-21,Tamil Nadu,72147030,30.6,24.7,18.7,67.2,2.6,37.7,24.1,False,0,25.64,1.19,5,5,0,1,2,2,0.0069,0.27_0.0_0.672,SYNTHETIC
2025-01-22,Tamil Nadu,72147030,31.7,28.6,25.6,74.6,4.7,41.3,27.1,False,0,25.87,1.21,1,1,0,0,1,0,0.0014,0.474_0.0_0.746,SYNTHETIC
2025-01-23,Tamil Nadu,72147030,31.4,27.9,24.4,75.1,3.2,41.2,26.6,False,0,26.25,1.21,9,8,1,0,4,5,0.0125,0.437_0.0_0.751,SYNTHETIC
2025-01-24,Tamil Nadu,72147030,33.6,27.9,22.2,73.8,2.4,42.9,27.0,False,0,26.34,1.42,0,0,0,0,0,0,0.0,0.466_0.0_0.738,SYNTHETIC
2025-01-25,Tamil Nadu,72147030,35.7,31.8,28.0,61.0,3.4,40.8,30.0,False,0,26.8,2.04,0,0,0,0,0,0,0.0,0.669_0.0_0.61,SYNTHETIC
2025-01-26,Tamil Nadu,72147030,32.4,27.1,21.8,64.7,1.9,38.8,26.1,False,0,26.59,1.23,0,0,0,0,0,0,0.0,0.407_0.0_0.647,SYNTHETIC
2025-01-27,Tamil Nadu,72147030,29.4,24.0,18.6,70.8,2.1,37.7,23.4,False,0,26.31,1.18,0,0,0,0,0,0,0.0,0.224_0.0_0.708,SYNTHETIC
2025-01-28,Tamil Nadu,72147030,33.2,29.0,24.8,73.9,1.7,42.6,27.7,False,0,26.83,1.31,0,0,0,0,0,0,0.0,0.513_0.0_0.739,SYNTHETIC
2025-01-29,Tamil Nadu,72147030,30.7,24.8,18.9,73.9,4.0,40.1,24.2,False,0,26.42,1.19,0,0,0,0,0,0,0.0,0.282_0.0_0.739,SYNTHETIC
2025-01-30,Tamil Nadu,72147030,34.5,31.5,28.5,65.5,1.5,41.2,29.6,False,0,26.86,1.7,0,0,0,0,0,0,0.0,0.641_0.0_0.655,SYNTHETIC
2025-01-31,Tamil Nadu,72147030,31.3,26.9,22.4,68.5,2.9,38.9,25.8,False,0,26.68,1.21,0,0,0,0,0,0,0.0,0.383_0.0_0.685,SYNTHETIC
2025-02-01,Tamil Nadu,72147030,32.1,28.0,23.9,69.2,3.5,40.0,26.7,False,0,26.21,1.23,0,0,0,0,0,0,0.0,0.449_0.0_0.692,SYNTHETIC
2025-02-02,Tamil Nadu,72147030,33.2,30.1,27.0,65.3,3.3,39.7,28.4,False,0,26.54,1.3,9,9,0,4,3,2,0.0125,0.558_0.0_0.653,SYNTHETIC
